Airport 1,Airport 2,Latitude,Longitude
ABQ, PDX,40.59248932,-113.9756456
ASE, ATL,36.96202261,-95.24101409
ATL, AUS,32.08891371,-91.17286267
ATL, AZO,37.93870987,-84.95730432
ATL, BGR,39.48523958,-77.25208459
ATL, BHM,33.60526413,-85.5912967
ATL, BMI,37.07907351,-86.57111414
ATL, BOI,39.69555977,-99.19875622
ATL, BZN,40.48188855,-96.59339291
ATL, CID,37.81827608,-87.86665703
ATL, CLT,34.43781584,-82.70196985
ATL, CRP,30.86918524,-91.1634216
ATL, DAL,33.39750852,-90.66798344
ATL, DCA,36.30203072,-80.85590777
ATL, DEN,37.18302507,-94.13698189
ATL, FLO,33.93352221,-82.08354102
ATL, FWA,37.30935987,-84.79293012
ATL, GRR,38.26184173,-84.94069505
ATL, HTS,36.00580787,-83.5209889
ATL, ILM,33.99693283,-81.17746216
ATL, JAN,33.00592843,-87.27310867
ATL, LFT,31.97750411,-88.27814266
ATL, LYH,35.51028826,-81.87404386
ATL, MIA,29.73225228,-82.27878049
ATL, MKE,38.30656654,-86.05127632
ATL, MTJ,36.65333328,-95.79377466
ATL, ORF,35.33585269,-80.39714498
ATL, PHF,35.44974387,-80.54628148
ATL, PIT,37.08360568,-82.42502864
ATL, PSP,34.79660517,-100.4491113
ATL, PWM,38.85624589,-77.86344945
ATL, RDU,34.78992762,-81.64593319
ATL, RNO,37.90621218,-101.4077332
ATL, SAN,34.286759,-100.8954639
ATL, SDF,35.9077585,-85.06337305
ATL, SRQ,30.52016085,-83.46128994
ATL, TOL,37.61349626,-84.13448593
AUS, ABQ,32.69741873,-102.0187536
AUS, DEN,35.08041203,-100.9645632
BDL, DFW,38.05099338,-85.60541083
BGR, ATL,39.48523958,-77.25208459
BLI, SLC,44.91364326,-116.891464
BMI, MCO,34.51513335,-84.83791342
BNA, CLE,38.79360903,-84.35321043
BNA, DTW,39.18108329,-85.08754906
BNA, STL,37.45115691,-88.4918592
BOI, ATL,39.69555977,-99.19875622
BOI, SBA,39.01105109,-118.1480841
BOI, SEA,45.54753348,-119.1612086
BOS, ACY,40.92495907,-72.83033133
BOS, BUF,42.71760801,-74.85084302
BOS, DEN,42.3638435,-88.16833466
BOS, DFW,38.3559755,-84.86364631
BOS, DTW,42.45490994,-77.18674788
BOS, EWR,41.5393388,-72.60731869
BOS, JFK,41.51047594,-72.41045344
BOS, OAK,42.98957964,-97.54506873
BOS, PHF,39.78108999,-73.85303519
BOS, PWM,43.00581387,-70.66087082
BQN, MCO,23.62545562,-73.95187614
BTR, DCA,34.89859403,-84.44906573
BTV, PIT,42.53669357,-76.8054752
BUF, DTW,42.59976311,-81.05624825
BUF, IAD,40.94461091,-78.0747601
BUR, SLC,37.53849794,-115.3089214
BWI, ABQ,38.06772775,-92.05531502
BWI, BNA,37.75645796,-81.77590587
BWI, BTV,41.83768705,-74.98329268
BWI, CMH,39.62840531,-79.76168212
BWI, DEN,40.37263176,-90.60033819
