Airport,Latitude,Longitude
ABQ,35.040199,-106.609001
ACY,39.45759964,-74.57720184
AEX,31.32740021,-92.54979706
AGS,33.36989975,-81.96450043
ALB,42.74829865,-73.80169678
ANC,61.17440033,-149.9960022
ASE,39.22320175,-106.8690033
ATL,33.6367,-84.428101
AUS,30.19449997,-97.66989899
AZO,42.23490143,-85.55210114
BDL,41.93889999,-72.68319702
BFL,35.43360138,-119.0569992
BGR,44.80739975,-68.82810211
BHM,33.56290054,-86.75350189
BIL,45.80770111,-108.5429993
BLI,48.7928009,-122.538002
BMI,40.47710037,-88.91590118
BNA,36.12450027,-86.67819977
BOI,43.5644,-116.223
BOS,42.36429977,-71.00520325
BPT,29.95079994,-94.02069855
BQN,18.49489975,-67.12940216
BRO,25.90679932,-97.42590332
BTR,30.533199,-91.149597
BTV,44.47190094,-73.15329742
BUF,42.94049835,-78.73220062
BUR,34.20069885,-118.3590012
BWI,39.1754,-76.668297
BZN,45.77750015,-111.1529999
CAE,33.93880081,-81.11949921
CAK,40.91609955,-81.44219971
CEC,41.78020096,-124.2369995
CHO,38.1385994,-78.45290375
CHS,32.89860153,-80.04049683
CID,41.88470078,-91.71080017
CLE,41.4117012,-81.84980011
CLL,30.58860016,-96.36380005
CLT,35.2140007,-80.94309998
CMH,39.998001,-82.891899
CMI,40.03919983,-88.27809906
COD,44.52019882,-109.0240021
COS,38.805801,-104.700996
CRP,27.77039909,-97.50119781
CRW,38.37310028,-81.59320068
CVG,39.04880142,-84.6678009
CYS,41.15570068,-104.8119965
DAB,29.179899,-81.058098
DAL,32.847099,-96.851799
DAY,39.90240097,-84.2193985
DCA,38.8521,-77.037697
DEN,39.86169815,-104.6729965
DFW,32.896801,-97.038002
DHN,31.32130051,-85.44960022
DSM,41.5340004,-93.6631012
DTW,42.21239853,-83.35340118
EGE,39.64260101,-106.9179993
ELP,31.80719948,-106.3779984
EUG,44.12459946,-123.211998
EVV,38.03699875,-87.53240204
EWR,40.69250107,-74.16870117
EYW,24.55610085,-81.75959778
FAI,64.81510162,-147.8560028
FAR,46.92070007,-96.81580353
FCA,48.3105011,-114.2559967
FLL,26.072599,-80.152702
FLO,34.1853981,-79.72389984
FMN,36.74119949,-108.2300034
FSM,35.33660126,-94.36740112
FWA,40.97850037,-85.19509888
GCC,44.34889984,-105.5390015
GEG,47.61989975,-117.5339966
GJT,39.12239838,-108.5270004
GPT,30.40730095,-89.07009888
GRB,44.48509979,-88.12960052
GRR,42.88079834,-85.52279663
GSO,36.09780121,-79.93730164
GTF,47.48199844,-111.3710022
HDN,40.48120117,-107.2180023
HNL,21.32062,-157.924228
HOU,29.64539909,-95.27890015
HSV,34.6371994,-86.77510071
HTS,38.36669922,-82.55799866
IAD,38.94449997,-77.45580292
IAH,29.9843998,-95.34140015
ICT,37.649899,-97.433098
IDA,43.514599,-112.070999
ILE,31.07866667,-97.6866
ILM,34.27059937,-77.90260315
IND,39.7173,-86.294403
ISP,40.79520035,-73.10019684
ITH,42.49100113,-76.45839691
JAC,43.6072998,-110.737999
JAN,32.31119919,-90.07589722
JAX,30.49410057,-81.68789673
JFK,40.63980103,-73.77890015
KOA,19.738783,-156.045603
KTN,55.35559845,-131.7140045
LAN,42.77870178,-84.58740234
LAS,36.08010101,-115.1520004
LAX,33.94250107,-118.4079971
LBB,33.663601,-101.822998
LCH,30.12610054,-93.22329712
LEX,38.03649902,-84.60590363
LFT,30.20529938,-91.98760223
LGA,40.77719879,-73.87259674
LGB,33.81769943,-118.1520004
LIT,34.72940063,-92.22429657
LRD,27.54380035,-99.46160126
LYH,37.3266983,-79.20040131
MAF,31.94249916,-102.2020035
MBS,43.53290176,-84.07959747
MCI,39.2976,-94.713898
MCN,32.69279861,-83.64920044
MCO,28.42939949,-81.30899811
MDT,40.19350052,-76.76339722
MDW,41.785999,-87.752403
MEI,32.33259964,-88.75189972
MEM,35.04240036,-89.97669983
MFE,26.17580032,-98.23860168
MFR,42.37419891,-122.8730011
MGM,32.30059814,-86.39399719
MHT,42.932598,-71.435699
MIA,25.79319954,-80.29060364
MKE,42.94720078,-87.89659882
MKG,43.16949844,-86.23819733
MKK,21.1529007,-157.095993
MLB,28.10280037,-80.64530182
MLI,41.44850159,-90.50749969
MOD,37.62580109,-120.9540024
MRY,36.5870018,-121.8430023
MSN,43.13990021,-89.33750153
MSO,46.91630173,-114.0910034
MSP,44.882,-93.221802
MSY,29.99340057,-90.25800323
MTJ,38.50979996,-107.8939972
MYR,33.67969894,-78.92829895
OAK,37.721298,-122.221001
OGG,20.8986,-156.429993
OKC,35.39310074,-97.60070038
