Airport,Name
0, ABQ
1, ACY
2, AEX
3, AGS
4, ALB
5, ANC
6, ASE
7, ATL
8, AUS
9, AZO
10, BDL
11, BFL
12, BGR
13, BHM
14, BIL
15, BLI
16, BMI
17, BNA
18, BOI
19, BOS
20, BPT
21, BQN
22, BRO
23, BTR
24, BTV
25, BUF
26, BUR
27, BWI
28, BZN
29, CAE
30, CAK
31, CEC
32, CHO
33, CHS
34, CID
35, CLE
36, CLL
37, CLT
38, CMH
39, CMI
40, COD
41, COS
42, CRP
43, CRW
44, CVG
45, CYS
46, DAB
47, DAL
48, DAY
49, DCA
50, DEN
51, DFW
52, DHN
53, DSM
54, DTW
55, EGE
56, ELP
57, EUG
58, EVV
59, EWR
60, EYW
61, FAI
62, FAR
63, FCA
64, FLL
65, FLO
66, FMN
67, FSM
68, FWA
69, GCC
70, GEG
71, GJT
72, GPT
73, GRB
74, GRR
75, GSO
76, GTF
77, HDN
78, HNL
79, HOU
80, HSV
81, HTS
82, IAD
83, IAH
84, ICT
85, IDA
86, ILE
87, ILM
88, IND
89, ISP
90, ITH
91, JAC
92, JAN
93, JAX
94, JFK
95, KOA
96, KTN
97, LAN
98, LAS
99, LAX
100, LBB
101, LCH
102, LEX
103, LFT
104, LGA
105, LGB
106, LIT
107, LRD
108, LYH
109, MAF
110, MBS
111, MCI
112, MCN
113, MCO
114, MDT
115, MDW
116, MEI
117, MEM
118, MFE
119, MFR
120, MGM
121, MHT
122, MIA
123, MKE
124, MKG
125, MKK
126, MLB
127, MLI
128, MOD
129, MRY
130, MSN
131, MSO
132, MSP
133, MSY
134, MTJ
135, MYR
136, OAK
137, OGG
138, OKC
139, OMA
140, OME
141, ONT
142, ORD
143, ORF
144, OTH
145, OTZ
146, PBI
147, PDX
148, PHF
149, PHL
150, PHX
151, PIE
152, PIH
153, PIT
154, PMD
155, PSE
156, PSP
157, PUB
158, PVD
159, PWM
160, RDD
161, RDM
162, RDU
163, RIC
164, RKS
165, RNO
166, ROA
167, ROC
168, ROW
169, RST
170, RSW
171, SAN
172, SAT
173, SBA
174, SBN
175, SBP
176, SCE
177, SDF
178, SEA
179, SFO
180, SGF
181, SGU
182, SIT
183, SJC
184, SJU
185, SLC
186, SLE
187, SMF
188, SNA
189, SPI
190, SPS
191, SRQ
192, STL
193, STX
194, SYR
195, TLH
196, TOL
197, TPA
198, TUL
199, TUS
200, TVC
201, TXK
202, TYR
203, VPS
204, XNA
205, YUM
